aqi,pm25,pm10,noise_db,temperature,humidity,weather_condition,distance_km,place_category,place_rating,time_of_day,day_of_week,user_mood,preferred_category,max_distance,user_previous_rating,suitability_score
159,67.6,145.1,42,25.4,67,Partly Cloudy,0.9,Cafes,4.7,14,3,Relax,Fitness,15.0,0.0,57
160,98.1,207.5,34,29.3,79,Cloudy,2.6,Libraries,3.6,8,2,Quiet Time,All,20.0,0.0,67
177,104.4,211.1,47,30.5,80,Partly Cloudy,0.5,Fitness,3.9,17,4,Relax,Cafes,5.0,4.1,32
27,14.9,27.3,38,34.4,42,Rainy,2.5,Meditation,4.2,6,7,Quiet Time,Fitness,10.0,0.0,83
88,56.4,113.6,42,21.6,54,Cloudy,2.6,Parks,4.1,17,5,Exercise,Lakes,8.0,4.4,99
45,25.7,52.6,34,31.4,76,Thunderstorm,8.5,Parks,4.4,17,2,Quiet Time,Cafes,8.0,0.0,55
158,88.0,188.5,59,32.2,36,Cloudy,1.9,Fitness,3.6,15,3,Quiet Time,Meditation,8.0,0.0,25
163,80.1,152.3,38,22.6,76,Partly Cloudy,2.6,Lakes,4.6,16,7,Meditate,Parks,10.0,4.9,55
177,113.6,236.6,53,18.3,61,Rainy,2.4,Fitness,4.4,17,1,Quiet Time,Meditation,10.0,0.0,11
164,88.6,190.4,31,29.4,58,Clear,4.5,Libraries,3.7,7,1,Relax,Libraries,15.0,4.0,59
62,35.6,68.5,44,20.8,55,Mist/Fog,0.7,Lakes,4.4,14,1,Exercise,Cafes,15.0,0.0,91
161,68.4,137.6,43,24.5,54,Mist/Fog,1.0,Lakes,4.9,20,1,Exercise,Cafes,5.0,0.0,61
64,38.2,65.8,48,21.7,45,Thunderstorm,7.4,Parks,4.7,6,3,Relax,Fitness,10.0,0.0,63
27,15.3,24.7,34,28.6,35,Partly Cloudy,1.4,Lakes,4.6,22,1,Meditate,Libraries,8.0,0.0,86
29,16.1,32.8,42,27.4,57,Mist/Fog,11.9,Meditation,5.0,18,4,Fresh Air,All,5.0,0.0,75
59,24.8,48.7,29,29.2,64,Cloudy,4.7,Libraries,5.0,22,3,Quiet Time,Cafes,15.0,0.0,99
135,83.6,161.4,64,26.1,46,Rainy,1.7,Fitness,4.1,9,3,Relax,Fitness,15.0,0.0,24
173,98.9,186.4,47,19.7,39,Clear,5.0,Fitness,4.3,16,6,Study,Lakes,8.0,3.7,25
128,62.5,121.7,49,26.7,77,Mist/Fog,1.8,Fitness,4.1,14,5,Relax,Lakes,20.0,3.9,53
45,24.9,49.7,39,21.2,70,Clear,1.6,Meditation,4.0,11,7,Fresh Air,Libraries,10.0,4.3,95
36,18.5,31.3,39,32.0,63,Cloudy,0.6,Parks,3.7,7,6,Relax,Meditation,5.0,3.9,99
107,50.1,102.9,29,20.0,68,Rainy,3.4,Libraries,4.5,7,2,Exercise,Libraries,20.0,4.2,99
34,13.7,28.1,37,27.6,46,Rainy,3.2,Lakes,3.6,7,4,Meditate,Fitness,10.0,4.8,58
124,71.6,132.5,44,35.4,43,Clear,10.6,Cafes,4.7,17,1,Fresh Air,Cafes,15.0,0.0,62
101,48.2,86.9,33,19.4,66,Partly Cloudy,2.9,Libraries,4.9,17,3,Fresh Air,All,8.0,0.0,79
63,29.2,49.8,48,19.4,82,Mist/Fog,3.8,Fitness,4.6,20,6,Meditate,Parks,15.0,0.0,57
91,46.4,87.3,38,28.6,52,Cloudy,0.6,Meditation,4.2,7,3,Study,Fitness,15.0,0.0,67
61,33.5,61.3,44,34.1,57,Mist/Fog,6.1,Parks,4.0,21,5,Quiet Time,Fitness,8.0,3.1,62
115,51.0,89.2,49,27.4,65,Rainy,1.9,Cafes,4.1,16,6,Quiet Time,All,10.0,0.0,81
58,24.6,49.4,51,33.3,83,Mist/Fog,3.5,Fitness,4.0,10,3,Quiet Time,Lakes,8.0,4.3,62
122,68.4,122.9,47,32.9,71,Mist/Fog,4.3,Fitness,3.6,19,5,Relax,Lakes,20.0,3.7,45
113,51.6,86.8,35,27.1,61,Clear,5.0,Lakes,3.6,16,7,Meditate,Lakes,20.0,0.0,68
60,34.8,56.6,40,22.3,57,Mist/Fog,1.5,Lakes,3.9,13,3,Quiet Time,Fitness,15.0,0.0,95
138,74.9,139.6,40,27.1,55,Rainy,0.9,Libraries,4.7,10,7,Meditate,Lakes,8.0,4.3,80
25,10.5,17.8,42,20.7,56,Thunderstorm,10.5,Parks,4.7,17,1,Quiet Time,Fitness,8.0,0.0,61
80,51.9,94.7,28,33.1,67,Clear,5.8,Libraries,3.6,21,6,Fresh Air,Lakes,8.0,0.0,63
29,12.7,27.5,37,20.0,49,Rainy,1.6,Meditation,3.9,20,1,Relax,All,5.0,4.8,99
45,26.1,46.3,28,22.3,55,Cloudy,4.1,Meditation,4.3,17,1,Fresh Air,All,5.0,0.0,90
41,22.9,50.1,32,24.4,38,Clear,1.3,Meditation,4.7,16,2,Fresh Air,All,5.0,4.1,99
151,77.9,157.1,59,19.1,73,Partly Cloudy,2.4,Fitness,3.8,12,1,Meditate,Fitness,10.0,3.6,23
147,65.8,119.4,40,24.0,41,Mist/Fog,1.9,Libraries,4.6,18,3,Study,All,15.0,0.0,80
97,58.1,102.3,29,19.4,65,Rainy,6.3,Libraries,3.9,9,1,Quiet Time,Cafes,20.0,3.6,85
21,13.0,23.5,51,29.5,74,Cloudy,0.5,Lakes,4.0,11,1,Quiet Time,Cafes,15.0,4.2,99
58,34.5,62.8,34,18.6,42,Thunderstorm,2.4,Libraries,4.1,8,5,Relax,Parks,10.0,3.7,80
43,27.0,45.1,47,26.0,84,Mist/Fog,1.5,Parks,3.8,10,7,Relax,Meditation,15.0,3.3,94
155,99.5,218.1,60,19.2,62,Mist/Fog,8.1,Fitness,4.6,11,7,Exercise,All,8.0,3.4,60
45,23.3,51.0,36,19.2,54,Clear,4.7,Lakes,4.3,19,7,Exercise,All,15.0,0.0,97
40,21.2,35.6,48,29.5,44,Thunderstorm,12.2,Lakes,4.3,7,7,Study,Meditation,15.0,3.3,43
173,91.6,162.2,46,29.4,62,Partly Cloudy,0.8,Fitness,4.4,8,5,Meditate,Lakes,10.0,0.0,31
48,30.0,54.1,42,32.9,36,Clear,0.5,Meditation,3.9,12,7,Fresh Air,Parks,20.0,0.0,78
133,63.2,110.4,63,23.4,38,Rainy,0.5,Fitness,4.1,20,2,Fresh Air,Lakes,15.0,3.3,17
178,86.6,159.3,62,28.1,50,Thunderstorm,2.5,Fitness,4.2,10,1,Study,Meditation,10.0,4.9,5
74,32.5,71.4,42,27.0,39,Cloudy,2.0,Lakes,5.0,12,5,Study,Libraries,15.0,3.1,76
135,69.9,134.3,41,20.4,48,Rainy,1.9,Libraries,4.0,18,1,Fresh Air,Fitness,15.0,0.0,64
44,26.7,52.7,44,35.6,54,Partly Cloudy,5.8,Parks,4.3,17,7,Exercise,Libraries,10.0,4.2,97
55,23.9,43.0,35,20.7,79,Rainy,0.8,Libraries,4.0,18,5,Fresh Air,All,20.0,0.0,94
88,53.1,96.7,38,28.5,74,Rainy,4.8,Meditation,4.4,14,6,Fresh Air,Cafes,5.0,0.0,72
125,55.3,109.4,37,20.7,69,Rainy,0.4,Meditation,3.8,20,3,Fresh Air,Parks,5.0,0.0,67
145,60.3,101.5,31,36.0,58,Cloudy,2.0,Meditation,4.2,16,5,Fresh Air,Cafes,8.0,4.5,58
154,71.8,135.7,67,28.0,46,Cloudy,12.9,Fitness,4.7,12,6,Quiet Time,Meditation,10.0,0.0,13
65,37.0,67.6,67,35.2,75,Cloudy,1.5,Fitness,4.9,8,3,Study,Lakes,10.0,0.0,43
112,50.5,97.1,66,22.9,40,Mist/Fog,5.0,Fitness,3.9,22,2,Study,Meditation,8.0,0.0,30
138,59.9,130.5,67,25.3,81,Partly Cloudy,7.7,Fitness,4.5,15,3,Exercise,All,15.0,3.1,61
53,32.5,52.7,50,33.9,43,Rainy,9.1,Parks,4.7,11,6,Quiet Time,Libraries,15.0,0.0,46
61,29.5,55.2,45,26.9,81,Thunderstorm,7.0,Parks,3.9,9,3,Study,Libraries,15.0,3.9,44
51,24.7,43.9,54,21.2,77,Partly Cloudy,8.3,Cafes,4.3,8,4,Quiet Time,Parks,15.0,0.0,84
83,38.1,78.2,59,28.5,63,Cloudy,1.4,Cafes,4.5,7,6,Meditate,All,10.0,3.6,51
170,105.7,217.9,39,34.5,49,Mist/Fog,3.6,Libraries,4.9,21,2,Quiet Time,Libraries,8.0,0.0,66
148,88.9,186.3,62,31.6,78,Mist/Fog,0.6,Fitness,4.3,17,1,Fresh Air,Cafes,15.0,0.0,33
42,22.8,38.5,39,26.0,69,Thunderstorm,4.7,Parks,3.6,22,4,Relax,Fitness,15.0,0.0,70
122,69.3,123.7,28,32.7,72,Cloudy,3.3,Libraries,4.1,8,5,Fresh Air,All,5.0,0.0,66
28,12.1,24.0,47,24.7,79,Rainy,2.4,Parks,4.1,10,6,Exercise,All,15.0,0.0,93
144,65.6,105.1,28,26.3,70,Cloudy,2.2,Libraries,4.7,13,4,Fresh Air,Parks,15.0,3.6,70
155,78.2,161.1,65,22.3,38,Clear,3.5,Fitness,4.4,7,2,Relax,All,15.0,0.0,27
33,19.9,40.6,39,31.9,75,Thunderstorm,1.2,Lakes,5.0,22,2,Relax,Parks,8.0,0.0,87
173,107.2,230.2,53,28.0,37,Rainy,1.8,Cafes,4.7,16,6,Relax,Libraries,15.0,0.0,38
89,51.3,106.9,42,25.4,55,Thunderstorm,2.9,Meditation,3.9,12,3,Exercise,Parks,15.0,0.0,80
119,72.3,117.9,34,28.9,78,Thunderstorm,1.0,Libraries,4.6,12,4,Study,All,20.0,4.8,97
64,33.3,58.1,44,25.1,46,Partly Cloudy,1.7,Lakes,4.1,17,3,Meditate,Meditation,10.0,4.0,75
154,89.4,183.9,33,24.7,55,Partly Cloudy,3.2,Libraries,4.6,6,3,Exercise,All,8.0,0.0,65
92,45.5,95.6,50,35.0,51,Mist/Fog,5.3,Cafes,4.9,21,4,Meditate,Parks,15.0,4.6,50
28,17.4,38.2,51,18.6,77,Thunderstorm,10.5,Lakes,4.6,19,2,Meditate,Meditation,5.0,0.0,29
22,12.3,26.6,50,26.8,35,Mist/Fog,3.1,Parks,3.5,14,5,Meditate,Libraries,5.0,0.0,67
39,24.8,42.3,50,20.7,44,Thunderstorm,2.9,Parks,3.9,18,1,Fresh Air,Fitness,10.0,3.8,69
60,38.9,77.4,34,24.8,62,Rainy,0.5,Lakes,4.6,8,4,Study,Meditation,5.0,0.0,62
177,113.9,243.4,66,21.8,78,Partly Cloudy,7.9,Fitness,3.9,8,6,Study,Libraries,15.0,0.0,7
63,34.4,70.6,46,34.7,49,Rainy,3.2,Parks,4.8,18,6,Meditate,Fitness,20.0,0.0,33
146,87.3,175.8,43,35.5,37,Mist/Fog,2.3,Cafes,4.0,18,7,Exercise,Fitness,5.0,4.3,48
106,60.4,120.6,35,23.3,47,Thunderstorm,0.6,Lakes,3.7,10,6,Study,Libraries,10.0,3.7,43
54,23.0,38.0,41,28.0,55,Thunderstorm,0.4,Parks,4.3,16,7,Relax,Lakes,10.0,3.6,72
50,22.1,38.9,32,19.1,56,Partly Cloudy,2.2,Meditation,4.7,17,3,Meditate,Libraries,15.0,0.0,99
127,57.0,94.9,52,24.0,66,Rainy,6.0,Fitness,4.2,19,7,Quiet Time,Cafes,10.0,0.0,26
173,77.9,139.3,59,23.2,69,Cloudy,2.7,Cafes,4.7,16,4,Study,Libraries,20.0,4.6,46
75,48.7,83.2,55,35.2,58,Clear,4.6,Cafes,4.7,8,7,Relax,Libraries,15.0,0.0,51
49,28.4,58.9,35,26.6,55,Thunderstorm,2.8,Lakes,4.3,17,6,Quiet Time,Lakes,15.0,0.0,88
64,29.6,59.2,30,18.8,84,Thunderstorm,4.3,Meditation,5.0,16,7,Fresh Air,Meditation,15.0,0.0,99
50,22.8,41.6,35,28.6,60,Mist/Fog,1.8,Meditation,4.2,15,4,Quiet Time,Libraries,5.0,0.0,84
68,32.5,60.9,37,24.3,39,Rainy,4.8,Parks,4.0,15,1,Relax,Fitness,15.0,0.0,72
154,97.4,199.1,56,20.9,62,Thunderstorm,11.4,Fitness,4.7,11,2,Relax,Meditation,8.0,0.0,6
145,90.0,168.3,34,30.7,45,Clear,5.2,Libraries,4.4,11,3,Exercise,All,5.0,3.9,62
47,25.7,46.5,41,21.1,68,Thunderstorm,5.9,Meditation,4.4,10,3,Quiet Time,Lakes,20.0,3.6,92
37,20.3,39.5,41,29.4,69,Rainy,3.9,Lakes,4.3,21,3,Study,Meditation,8.0,3.6,53
67,40.5,88.2,51,25.4,59,Rainy,4.6,Cafes,4.2,8,5,Relax,Cafes,15.0,4.5,87
79,37.3,77.2,52,27.9,40,Rainy,0.7,Cafes,4.7,17,5,Relax,Lakes,20.0,0.0,71
57,33.5,59.6,43,22.7,78,Rainy,0.6,Meditation,4.7,13,2,Meditate,Cafes,5.0,0.0,99
129,65.4,128.8,40,32.5,63,Partly Cloudy,3.0,Meditation,4.3,16,6,Quiet Time,Lakes,20.0,4.1,61
175,104.4,224.6,67,20.3,78,Mist/Fog,1.3,Fitness,4.7,18,4,Relax,Parks,10.0,4.3,26
108,60.3,128.3,47,31.5,69,Thunderstorm,7.6,Fitness,4.9,16,5,Exercise,Cafes,15.0,4.5,68
140,85.8,178.2,34,32.8,59,Rainy,1.7,Libraries,4.0,10,5,Quiet Time,Meditation,10.0,0.0,72
56,23.8,49.3,50,34.7,42,Clear,2.4,Cafes,3.8,10,6,Quiet Time,Fitness,15.0,4.7,81
98,61.3,104.2,49,31.1,72,Cloudy,2.3,Cafes,4.6,6,2,Study,All,5.0,0.0,74
40,16.1,29.1,36,30.5,58,Rainy,1.2,Lakes,4.6,9,1,Fresh Air,Parks,5.0,4.8,96
43,17.3,34.4,41,21.8,72,Mist/Fog,9.1,Lakes,4.5,12,1,Quiet Time,Meditation,20.0,0.0,99
95,48.2,100.0,38,19.5,62,Mist/Fog,3.5,Lakes,3.9,6,7,Relax,Libraries,20.0,0.0,80
88,36.4,77.9,43,24.9,47,Rainy,3.9,Meditation,4.3,6,3,Fresh Air,Parks,5.0,0.0,72
104,55.8,95.1,42,18.3,38,Clear,1.4,Lakes,4.9,18,5,Exercise,Fitness,5.0,4.4,90
119,65.9,116.4,32,34.6,83,Thunderstorm,0.9,Libraries,4.1,8,3,Relax,Meditation,10.0,0.0,59
81,51.1,85.3,59,23.6,72,Clear,5.0,Fitness,3.5,10,6,Meditate,All,5.0,4.0,41
98,57.6,122.3,61,31.9,36,Clear,6.1,Fitness,4.3,14,6,Study,Parks,10.0,0.0,38
109,53.4,101.4,58,20.8,73,Cloudy,8.2,Fitness,3.8,22,1,Relax,Cafes,5.0,4.7,40
171,105.1,203.0,42,29.8,46,Mist/Fog,1.3,Libraries,3.9,8,5,Meditate,Parks,10.0,4.0,54
177,113.0,185.5,42,31.9,50,Cloudy,0.6,Parks,3.5,12,3,Meditate,Parks,15.0,0.0,36
176,114.3,236.1,39,31.7,47,Thunderstorm,0.3,Libraries,3.5,17,6,Study,Libraries,15.0,0.0,69
98,57.3,102.3,37,25.6,83,Partly Cloudy,12.9,Parks,4.6,8,1,Study,All,8.0,0.0,62
176,74.1,122.8,48,19.3,63,Rainy,2.3,Fitness,3.9,14,7,Study,Cafes,8.0,4.6,5
91,42.6,70.1,49,20.0,40,Thunderstorm,2.4,Fitness,4.1,17,7,Quiet Time,Lakes,10.0,3.6,44
140,57.4,120.6,39,30.8,83,Clear,2.1,Lakes,4.5,14,7,Quiet Time,Lakes,5.0,0.0,86
53,24.5,46.0,48,20.2,38,Partly Cloudy,5.6,Parks,3.7,18,3,Exercise,Fitness,8.0,0.0,93
64,28.8,57.2,40,34.3,76,Clear,1.7,Meditation,4.9,7,2,Study,Fitness,5.0,0.0,71
114,56.5,104.9,33,22.9,57,Partly Cloudy,0.9,Libraries,4.4,13,6,Quiet Time,Cafes,20.0,3.8,90
104,58.3,121.2,46,32.3,84,Thunderstorm,5.6,Cafes,4.2,21,3,Exercise,Parks,10.0,0.0,68
21,11.5,18.6,40,19.1,84,Cloudy,2.9,Meditation,5.0,11,1,Study,Cafes,20.0,3.5,86
179,81.4,171.6,63,34.8,84,Cloudy,1.0,Fitness,4.4,17,5,Relax,Fitness,8.0,4.4,27
28,18.1,38.5,35,21.2,36,Cloudy,0.5,Meditation,3.8,22,4,Fresh Air,Parks,20.0,4.8,99
159,76.5,123.4,58,31.9,77,Partly Cloudy,7.2,Fitness,4.1,18,5,Meditate,Fitness,5.0,3.6,19
152,97.3,193.6,37,30.5,81,Thunderstorm,5.7,Lakes,4.5,11,4,Meditate,Meditation,8.0,4.4,26
160,94.8,184.0,49,34.6,83,Cloudy,1.2,Fitness,3.7,21,2,Fresh Air,Cafes,20.0,3.2,31
132,84.6,177.1,54,34.0,57,Mist/Fog,1.4,Cafes,4.5,17,3,Study,Parks,8.0,0.0,51
175,108.7,206.1,34,24.8,76,Thunderstorm,5.7,Libraries,4.5,13,2,Quiet Time,Cafes,20.0,0.0,67
62,26.0,44.3,40,19.4,82,Mist/Fog,13.7,Parks,4.4,21,6,Study,All,10.0,4.9,73
63,31.6,61.1,50,22.8,49,Thunderstorm,1.2,Lakes,4.1,21,2,Relax,All,5.0,3.0,69
47,21.1,34.1,37,35.6,58,Cloudy,0.7,Parks,4.2,14,1,Study,Fitness,15.0,0.0,71
107,49.8,93.6,31,28.2,42,Cloudy,4.5,Libraries,3.6,17,7,Study,Parks,5.0,0.0,74
37,19.6,42.7,38,28.3,46,Rainy,1.5,Meditation,4.9,7,5,Meditate,Libraries,15.0,0.0,99
108,68.8,117.0,31,20.3,56,Partly Cloudy,15.9,Meditation,3.8,10,7,Meditate,All,15.0,0.0,79
58,28.8,52.9,47,27.4,80,Cloudy,0.3,Cafes,4.4,19,1,Quiet Time,Fitness,20.0,0.0,92
152,93.8,199.6,49,24.9,59,Cloudy,3.6,Parks,3.8,18,2,Relax,Libraries,5.0,0.0,54
55,34.2,61.5,50,26.6,48,Mist/Fog,1.9,Fitness,4.7,15,3,Quiet Time,Cafes,10.0,4.0,85
107,64.9,114.3,41,19.6,57,Mist/Fog,8.9,Lakes,4.6,22,7,Meditate,Lakes,15.0,3.1,62
102,60.7,116.2,44,21.5,76,Partly Cloudy,6.6,Lakes,3.5,7,3,Relax,Lakes,8.0,0.0,83
138,63.5,120.2,35,28.6,52,Rainy,0.9,Meditation,4.6,8,3,Exercise,Meditation,10.0,3.1,85
30,13.6,27.1,36,18.2,80,Mist/Fog,3.9,Meditation,4.7,13,3,Meditate,Fitness,20.0,0.0,99
105,51.9,93.9,50,23.4,61,Rainy,3.7,Fitness,3.7,22,6,Quiet Time,Lakes,20.0,0.0,34
127,59.8,120.2,50,35.8,67,Cloudy,7.2,Cafes,4.5,15,2,Fresh Air,Meditation,10.0,4.5,50
26,10.6,20.1,32,25.3,71,Rainy,3.4,Meditation,4.7,16,6,Exercise,Meditation,20.0,0.0,99
152,95.2,190.7,56,33.1,78,Partly Cloudy,1.0,Fitness,4.2,14,6,Fresh Air,Meditation,5.0,0.0,30
61,29.8,61.0,52,24.7,64,Cloudy,2.5,Fitness,4.2,8,4,Study,Meditation,5.0,0.0,59
43,21.6,45.8,30,24.2,84,Partly Cloudy,8.1,Meditation,3.7,11,7,Relax,Fitness,15.0,3.7,86
54,23.9,49.2,42,20.3,56,Clear,2.3,Parks,4.9,18,1,Relax,Cafes,15.0,3.4,99
148,78.8,126.9,42,22.5,69,Mist/Fog,1.8,Cafes,3.7,22,5,Relax,Lakes,8.0,3.1,51
127,61.5,131.2,43,35.9,59,Cloudy,5.2,Libraries,4.9,18,1,Quiet Time,Libraries,8.0,4.5,83
42,18.1,36.7,48,33.8,47,Rainy,3.0,Lakes,4.4,7,6,Meditate,Meditation,5.0,4.7,41
121,62.8,106.2,39,18.2,56,Mist/Fog,0.7,Libraries,3.9,10,4,Exercise,All,20.0,0.0,70
32,19.1,36.3,44,33.0,83,Cloudy,1.9,Parks,3.9,7,5,Fresh Air,Meditation,15.0,0.0,99
51,21.5,35.8,52,20.7,39,Rainy,2.8,Cafes,4.9,13,4,Meditate,All,5.0,0.0,76
56,33.8,71.8,57,32.4,50,Cloudy,5.0,Cafes,4.8,7,1,Study,Cafes,5.0,0.0,83
84,49.0,89.4,48,25.2,83,Clear,1.4,Cafes,4.5,21,7,Exercise,Libraries,15.0,0.0,81
22,14.0,23.7,41,26.7,63,Thunderstorm,2.3,Lakes,4.1,17,5,Relax,Parks,20.0,4.4,91
38,15.6,27.4,39,33.6,61,Mist/Fog,5.1,Lakes,3.8,16,5,Exercise,Cafes,20.0,0.0,74
106,61.7,116.6,60,24.9,76,Mist/Fog,3.2,Fitness,3.6,11,5,Fresh Air,All,20.0,0.0,51
63,26.0,45.1,45,32.7,38,Rainy,2.4,Parks,4.2,21,4,Exercise,Lakes,20.0,5.0,78
63,31.7,61.3,45,32.3,83,Clear,3.9,Fitness,4.3,20,3,Quiet Time,All,20.0,3.1,74
49,28.4,47.4,40,18.0,52,Partly Cloudy,3.8,Meditation,4.3,17,6,Fresh Air,Libraries,10.0,4.8,87
